群馬エリア,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項
,スマーク伊勢崎③,1Fあかぎプラザ,伊勢崎市西小保方町368,11坪,屋内（風除室含む）,グラスト,"120,000","180,000",要確認,要確認,要確認,要確認,
,スマーク伊勢崎④,1Fスマイルストリート(みょうぎ側),伊勢崎市西小保方町368,4.5坪,屋内（風除室含む）,グラスト,"60,000","84,000",要確認,要確認,要確認,要確認,
,スマーク伊勢崎⑤,3Fフードコート前広場中央,伊勢崎市西小保方町368,15坪,屋内（風除室含む）,グラスト,"72,000","144,000",要確認,要確認,要確認,要確認,
,スマーク伊勢崎⑥,3Fフードコート前広場(みょうぎ側),伊勢崎市西小保方町368,4坪,屋内（風除室含む）,ダイエースペース,"35,000","60,000",要確認,要確認,要確認,有,
,スマーク伊勢崎⑦,3Fフードコート前広場(あかぎ側),伊勢崎市西小保方町368,4坪,屋内（風除室含む）,ダイエースペース,"35,000","60,000",要確認,要確認,要確認,有,
,高崎高島屋①,2階シーティングスペース,高崎市旭町45番地,ー,屋内（風除室含む）,グラスト,"120,000","120,000",要確認,要確認,要確認,要確認,ドコモ催事不可
,高崎高島屋②,6階催会場とレストランの間のスペース,高崎市旭町45番地,長机3台以上,屋内（風除室含む）,グラスト,"60,000","60,000",要確認,要確認,要確認,要確認,ドコモ催事不可
,戸田書店前橋本店,店内催事場所,前橋市西片貝町4-16-7,2×2m~3×4m,屋内（風除室含む）,グラスト,"50,000","50,000",要確認,要確認,要確認,要確認,
,戸田書店桐生,店内催事場所,桐生市新宿2-5-7,2×2m~3×4m,屋内（風除室含む）,グラスト,"50,000","50,000",要確認,要確認,要確認,要確認,
,戸田書店高崎,店内催事場所,高崎市下小鳥町438-1,2×2m~3×4m,屋内（風除室含む）,グラスト,"50,000","50,000",要確認,要確認,要確認,要確認,
