東京,,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真,
,BOOKOFF,BOOKOFF新宿駅西口,新宿区西新宿1-10-2 110ビル4F～6F,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF浅草稲荷町,台東区松が谷1-3-5,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFFロッテシティ錦糸町,墨田区錦糸4-6-1ロッテシティ3F,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF曳舟,墨田区東向島2-48-13 第3丸重ハイツ1･2F,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF武蔵小山パルム,品川区荏原3-3-17,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF中延駅前,品川区中延4-4-6,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF自由が丘駅前,目黒区自由が丘2-11-23,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF学芸大学駅前,目黒区鷹番2-15-12,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFFＪＲ蒲田駅東口,大田区蒲田5-26-8,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF糀谷駅前,大田区西糀谷4-27-7,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF雪が谷大塚,大田区南雪谷2-17-9,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFFサミットストア砧,世田谷区砧1-1-2,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF246駒沢,世田谷区駒沢2-11,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF246三軒茶屋,世田谷区太子堂1-12-27,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF上野毛,世田谷区中町3-16-3,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF代々木駅北口,渋谷区代々木1-58-1,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF阿佐ヶ谷南,杉並区阿佐谷南1-33-7,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF新高円寺駅前,杉並区高円寺南2-17-2,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF浜田山駅前,杉並区浜田山3-34-5,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF大塚駅前,豊島区南大塚1-51-11,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF下赤塚駅南口,板橋区赤塚新町1-22-2 セカンドプロスパービル1F,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF西台高島通り,板橋区高島平1-75-10,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF板橋前野,板橋区前野町4-19-1,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF上石神井駅南口,練馬区上石神井1-16-9,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF練馬高野台駅北口,練馬区高野台1-5-3,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF練馬光が丘,練馬区高松4-22-6,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF練馬区役所前,練馬区豊玉北6-3-1,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF大泉学園駅前,練馬区東大泉1-26-15,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF綾瀬駅前,足立区綾瀬3-2-8 シティプレイスアヤセ2F,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF足立加平インター,足立区加平2-3,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFFパサージオ西新井,足立区西新井栄町1-17-1,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF葛西駅前,江戸川区中葛西5-34-11,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF八王子めじろ台,八王子市椚田町538-5,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF八王子堀之内,八王子市堀之内3-3-1,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF立川栄,立川市高松町1-24-36,長机1台～,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,BOOKOFF,BOOKOFF吉祥寺駅北口,武蔵野市吉祥寺本町1-13-2 白樺ビル1階-4階,長机1台～,屋内（風除室含む）,グラスト,"55,000","55,000",要確認,,,,,,,,,,,,
