神奈川,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,コーナン,瀬谷店,横浜市瀬谷区南台1-40-6,要確認,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,イオンスタイル,東戸塚,神奈川県横浜市戸塚区品濃町535-1,西武東戸塚SCとの連絡通路入口脇(リペア前),屋内（風除室含む）,場所とる,"35,000","45,000",要確認,,,,,,,,,,,
,イオンスタイル,東戸塚,神奈川県横浜市戸塚区品濃町535-1,西武東戸塚SCとの連絡通路,屋内（風除室含む）,場所とる,"85,000","85,000",要確認,,,,,,,,,,,
,イオンスタイル,東戸塚,神奈川県横浜市戸塚区品濃町535-1,キッズリパブリック売場出入口,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオンスタイル,上麻生,川崎市麻生区上麻生4-3-1,1F　エントランス横,屋内（風除室含む）,場所とる,"15,000","15,000",要確認,,,,,,,,,,,
,イオンスタイル,つきみ野,大和市つきみ野1-6-1,出入口付近,屋内（風除室含む）,場所とる,"25,000","25,000",要確認,,,,,,,,,,,
,イオン,秦野ショッピングセンター,神奈川県秦野市入船町12－1,ガーデンコート(フードコート)横,屋内（風除室含む）,場所とる,"38,000","58,000",要確認,,,,SB NG,,,,,,,
,イオン,秦野ショッピングセンター,神奈川県秦野市入船町12－1,正面入口横,屋外,場所とる,"58,000","78,000",要確認,,,,SB NG,,,,,,,
,イオン,秦野ショッピングセンター,神奈川県秦野市入船町12－1,北口横,屋内（風除室含む）,場所とる,"23,000","28,000",要確認,,,,SB NG,,,,,,,
,イオン,秦野ショッピングセンター,神奈川県秦野市入船町12－1,エディオン前B区画,屋内（風除室含む）,場所とる,"58,000","78,000",要確認,,,,SB NG,,,,,,,
,イオン,秦野ショッピングセンター,神奈川県秦野市入船町12－1,エディオン前C区画,屋内（風除室含む）,場所とる,"58,000","78,000",要確認,,,,SB NG,,,,,,,
,イオン,秦野ショッピングセンター,神奈川県秦野市入船町12－1,エディオン前D区画,屋内（風除室含む）,場所とる,"58,000","78,000",要確認,,,,SB NG,,,,,,,
,イオン,秦野ショッピングセンター,神奈川県秦野市入船町12－1,北エスカレーター横,屋内（風除室含む）,場所とる,"38,000","58,000",要確認,,,,SB NG,,,,,,,
,イオン,秦野ショッピングセンター,神奈川県秦野市入船町12－1,エディオン前 A区画,屋内（風除室含む）,場所とる,"58,000","78,000",要確認,,,,SB NG,,,,,,,
,イオン,秦野ショッピングセンター,神奈川県秦野市入船町12－1,金犬くん横,屋内（風除室含む）,場所とる,"28,000","28,000",要確認,,,,SB NG,,,,,,,
,イオン,秦野ショッピングセンター,神奈川県秦野市入船町12－1,北エスカレーター横(無印良品前),屋内（風除室含む）,場所とる,"38,000","58,000",要確認,,,,SB NG,,,,,,,
,カインズ,三浦店,神奈川県三浦市初声町入江273-3,店頭宝くじ売り場左側(軒無し),屋外,,,,要確認,,,,,,,,,,,
